Taxon,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop,SRSex,GRSex,ERSex,FCSex,FCSex priority category,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCSc_min,FCSc_max,FCSc mean,FCSc_min priority category,FCSc_max priority category,FCSc mean priority category,EOO status,AOO status,Combined threat assessment status,file_path
Acer saccharum,1A,Food,Sugars,Acer,Sugar maple,1.81140579,0.0,0.0,0.60380193,UP,4.244954767,4.025051327,97.2972973,35.18910113,HP,0.60380193,35.18910113,0.60380193,35.18910113,17.89645153,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Acer/Acer saccharum_Run20200203_2020-08-18.html
Acer saccharum subsp. floridanum,1A,Food,Sugars,Acer,Sugar maple,1.4831460669999998,0.0,0.0,0.494382022,UP,1.910828025,2.599532187,83.33333333,29.28123118,HP,0.494382022,29.28123118,0.494382022,29.28123118,14.8878066,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. floridanum_Run20200203_2020-08-17.html
Acer saccharum subsp. leucoderme,1A,Food,Sugars,Acer,Sugar maple,2.310654685,3.1215950660000003,18.18181818,7.871355977999999,UP,9.036144578,3.766367206,90.90909091,34.57053423,HP,7.871355977999999,34.57053423,7.871355977999999,34.57053423,21.2209451,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. leucoderme_Run20200203_2020-08-17.html
Acer saccharum subsp. nigrum,1A,Food,Sugars,Acer,Sugar maple,3.134479272,0.966160365,10.0,4.700213212,UP,2.909090909,2.55568732,95.0,33.48825941,HP,4.700213212,33.48825941,4.700213212,33.48825941,19.09423631,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. nigrum_Run20200203_2020-08-17.html
Acer saccharum subsp. ozarkense,1A,Food,Sugars,Acer,Sugar maple,0.0,0.0,0.0,0.0,UP,0.0,,,0.0,UP,0.0,0.0,0.0,0.0,0.0,HP,HP,HP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Acer/Acer saccharum subsp. ozarkense_Run20200203_2020-08-17.html
Acer saccharum subsp. saccharum,1A,Food,Sugars,Acer,Sugar maple,1.826846704,0.0,0.0,0.608948901,UP,4.347826087,4.581083236,85.0,31.30963644,HP,0.608948901,31.30963644,0.608948901,31.30963644,15.95929267,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Acer/Acer saccharum subsp. saccharum_Run20200203_2020-08-18.html
Allium aaseae,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.409090909,41.28793111,100.0,48.23234067,HP,12.5,9.638504182,100.0,40.71283473,HP,48.23234067,40.71283473,40.71283473,48.23234067,44.47258770000001,HP,HP,HP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium aaseae_Run20200203_2020-08-17.html
Allium acuminatum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.088169643,14.74546907,37.5,17.77787957,UP,10.62618596,10.295407,95.83333333,38.91830877,HP,17.77787957,38.91830877,17.77787957,38.91830877,28.34809417,UP,HP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Allium/Allium acuminatum_Run20200203_2020-08-17.html
Allium amplectens,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.300954033,17.749744500000006,69.23076923,29.42715592,HP,8.352668213,9.745696242000001,100.0,39.36612149,HP,29.42715592,39.36612149,29.42715592,39.36612149,34.396638700000004,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium amplectens_Run20200203_2020-08-17.html
Allium bigelovii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.775193798,8.827123967999999,33.33333333,14.3118837,UP,25.0,3.909211747,66.66666667,31.85862614,HP,14.3118837,31.85862614,14.3118837,31.85862614,23.08525492,UP,HP,UP,Vulnerable (VU),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium bigelovii_Run20200203_2020-08-17.html
Allium bisceptrum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.628930818,3.262234179,11.76470588,5.218623626,UP,18.78612717,20.24026447,94.11764706,44.38134623,HP,5.218623626,44.38134623,5.218623626,44.38134623,24.79998493,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium bisceptrum_Run20200203_2020-08-17.html
Allium brandegeei,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.0,0.0,0.0,0.0,UP,11.00628931,16.89196898,100.0,42.63275276,HP,0.0,42.63275276,0.0,42.63275276,21.31637638,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium brandegeei_Run20200203_2020-08-17.html
Allium brevistylum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.183654729,0.0,0.0,0.061218243,UP,24.25925926,24.40925968,100.0,49.55617298,HP,0.061218243,49.55617298,0.061218243,49.55617298,24.80869561,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium brevistylum_Run20200203_2020-08-17.html
Allium burdickii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",2.489626556,1.975982707,22.22222222,8.895943828,UP,2.597402597,3.301509524,100.0,35.29963737,HP,8.895943828,35.29963737,8.895943828,35.29963737,22.097790600000003,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium burdickii_Run20200203_2020-08-17.html
Allium campanulatum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.8324661809999999,0.0,0.0,0.277488727,UP,24.58628842,26.10909436,100.0,50.23179426,MP,0.277488727,50.23179426,0.277488727,50.23179426,25.25464149,UP,MP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium campanulatum_Run20200203_2020-08-17.html
Allium canadense,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.8314678609999999,0.240932324,17.85714286,6.309847681,UP,1.6483516480000002,3.506961278,100.0,35.05177098,HP,6.309847681,35.05177098,6.309847681,35.05177098,20.68080933,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium canadense_Run20200203_2020-08-17.html
Allium canadense var. canadense,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.6825938570000001,0.0,0.0,0.22753128600000005,UP,6.741573034,3.73412742,92.30769231,34.26113092,HP,0.22753128600000005,34.26113092,0.22753128600000005,34.26113092,17.2443311,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium canadense var. canadense_Run20200203_2020-08-17.html
Allium cernuum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.7171717169999998,6.358063753,32.55813953,13.54445833,UP,16.81503462,11.94516877,95.34883721,41.36968020000001,HP,13.54445833,41.36968020000001,13.54445833,41.36968020000001,27.45706927,UP,HP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium cernuum_Run20200203_2020-08-17.html
Allium crenulatum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.221238938,0.0,0.0,0.073746313,UP,31.3253012,23.77473237,87.5,47.53334453,HP,0.073746313,47.53334453,0.073746313,47.53334453,23.80354542,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium crenulatum_Run20200203_2020-08-17.html
Allium douglasii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",2.5,3.553234621,33.33333333,13.12885598,UP,6.756756757000001,6.37745614,100.0,37.7114043,HP,13.12885598,37.7114043,13.12885598,37.7114043,25.42013014,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium douglasii_Run20200203_2020-08-17.html
Allium drummondii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.778210117,1.901751897,9.090909091,3.923623702,UP,6.018518519,2.041558444,90.90909091,32.98972262,HP,3.923623702,32.98972262,3.923623702,32.98972262,18.45667316,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium drummondii_Run20200203_2020-08-17.html
Allium falcifolium,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",2.618657938,21.61517655,42.85714286,22.36365911,UP,17.40890688,16.02585805,85.71428571,39.71635022,HP,22.36365911,39.71635022,22.36365911,39.71635022,31.04000467,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium falcifolium_Run20200203_2020-08-17.html
Allium fibrillum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.576923077,0.0,0.0,0.192307692,UP,18.22660099,10.30714144,57.14285714,28.55886652,HP,0.192307692,28.55886652,0.192307692,28.55886652,14.37558711,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium fibrillum_Run20200203_2020-08-17.html
Allium geyeri,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.620067644,6.259287817000001,22.22222222,9.700525894,UP,11.71693735,12.0255119,83.33333333,35.69192753,HP,9.700525894,35.69192753,9.700525894,35.69192753,22.69622671,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Allium/Allium geyeri_Run20200203_2020-08-18.html
Allium geyeri var. geyeri,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.472440945,2.1777970580000003,28.57142857,10.40722219,UP,11.36363636,10.68869841,100.0,40.68411159,HP,10.40722219,40.68411159,10.40722219,40.68411159,25.54566689,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium geyeri var. geyeri_Run20200203_2020-08-17.html
Allium geyeri var. tenerum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.0,0.0,0.0,0.0,UP,23.87543253,19.95770981,92.30769231,45.38027821,HP,0.0,45.38027821,0.0,45.38027821,22.69013911,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium geyeri var. tenerum_Run20200203_2020-08-17.html
Allium gooddingii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.826484018,0.0,0.0,0.608828006,UP,0.0,15.49352662,100.0,38.49784221,HP,0.608828006,38.49784221,0.608828006,38.49784221,19.55333511,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium gooddingii_Run20200203_2020-08-17.html
Allium kunthii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.431372549,3.787630622,44.44444444,17.22114921,UP,21.17647059,15.76103867,88.88888889,41.94213272,HP,17.22114921,41.94213272,17.22114921,41.94213272,29.58164096,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium kunthii_Run20200203_2020-08-17.html
Allium lemmonii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.488833747,9.300945504,33.33333333,14.70770419,UP,10.88082902,14.4407978,83.33333333,36.21832005,HP,14.70770419,36.21832005,14.70770419,36.21832005,25.46301212,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium lemmonii_Run20200203_2020-08-17.html
Allium macrum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.35971223,0.0,0.0,0.119904077,UP,3.669724771,4.647066065,80.0,29.43893028,HP,0.119904077,29.43893028,0.119904077,29.43893028,14.77941718,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium macrum_Run20200203_2020-08-17.html
Allium munzii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.401869159,0.0,0.0,0.46728972,UP,18.18181818,9.384037225,100.0,42.5219518,HP,0.46728972,42.5219518,0.46728972,42.5219518,21.49462076,UP,HP,UP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium munzii_Run20200203_2020-08-17.html
Allium nevii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.724137931,0.0,0.0,0.574712644,UP,8.695652174,8.239081753999999,100.0,38.97824464,HP,0.574712644,38.97824464,0.574712644,38.97824464,19.77647864,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium nevii_Run20200203_2020-08-17.html
Allium obtusum var.Â conspicuum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",100.0,0.0,0.0,33.33333333,HP,0.0,,,0.0,UP,33.33333333,0.0,0.0,33.33333333,16.66666667,UP,HP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),
Allium platycaule,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",2.597402597,0.0,0.0,0.865800866,UP,16.19047619,16.07142731,62.5,31.58730117,HP,0.865800866,31.58730117,0.865800866,31.58730117,16.22655102,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium platycaule_Run20200203_2020-08-17.html
Allium praecox,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.379310345,0.0,0.0,0.459770115,UP,20.53571429,10.51425311,100.0,43.68332246,HP,0.459770115,43.68332246,0.459770115,43.68332246,22.07154629,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium praecox_Run20200203_2020-08-17.html
Allium robinsonii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.598802395,1.830895661,16.66666667,6.365454907999999,UP,7.8125,4.964141553,83.33333333,32.0366583,HP,6.365454907999999,32.0366583,6.365454907999999,32.0366583,19.2010566,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium robinsonii_Run20200203_2020-08-17.html
Allium sanbornii,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",10.0,15.52601827,50.0,25.17533942,HP,0.0,9.298220166,100.0,36.43274006,HP,25.17533942,36.43274006,25.17533942,36.43274006,30.80403974,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium sanbornii_Run20200203_2020-08-17.html
Allium schoenoprasum,1B,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",5.100334448,0.0,0.0,1.700111483,UP,40.57971014,18.4422436,100.0,53.00731791,MP,1.700111483,53.00731791,1.700111483,53.00731791,27.3537147,UP,MP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),
Allium schoenoprasum subsp. schoenoprasum,1A,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",5.01369863,0.0,0.0,1.6712328769999998,UP,37.79385172,17.61765786,92.59259259,49.33470072,HP,1.6712328769999998,49.33470072,1.6712328769999998,49.33470072,25.5029668,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium schoenoprasum subsp. schoenoprasum_Run20200203_2020-08-17.html
Allium scilloides,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.0,0.0,0.0,0.0,UP,3.333333333,6.91304913,66.66666667,25.63768304,HP,0.0,25.63768304,0.0,25.63768304,12.81884152,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium scilloides_Run20200203_2020-08-17.html
Allium siskiyouense,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.964757709,19.38192018,50.0,24.44889263,UP,22.04724409,16.38463755,100.0,46.14396055,HP,24.44889263,46.14396055,24.44889263,46.14396055,35.29642659,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium siskiyouense_Run20200203_2020-08-17.html
Allium stellatum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.939962477,0.0,0.0,1.313320826,UP,10.57692308,3.672571505,100.0,38.08316486,HP,1.313320826,38.08316486,1.313320826,38.08316486,19.69824284,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium stellatum_Run20200203_2020-08-17.html
Allium textile,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.057401813,16.68014486,53.33333333,23.69029334,UP,5.563761694,5.810739017,93.33333333,34.90261135,HP,23.69029334,34.90261135,23.69029334,34.90261135,29.29645234,UP,HP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium textile_Run20200203_2020-08-17.html
Allium tolmiei,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.013513514,0.389988104,20.0,7.1345005389999985,UP,10.28037383,11.11722415,80.0,33.79919933,HP,7.1345005389999985,33.79919933,7.1345005389999985,33.79919933,20.46684993,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium tolmiei_Run20200203_2020-08-17.html
Allium tricoccum,1A,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",2.186666667,0.88157107,23.52941176,8.865883167,UP,0.45045045,5.242110418,100.0,35.23085362,HP,8.865883167,35.23085362,8.865883167,35.23085362,22.0483684,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium tricoccum_Run20200203_2020-08-17.html
Allium unifolium,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",13.5371179,0.0,0.0,4.512372635,UP,15.09433962,15.01289028,80.0,36.70240997,HP,4.512372635,36.70240997,4.512372635,36.70240997,20.6073913,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Allium/Allium unifolium_Run20200203_2020-08-17.html
Allium validum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.996677741,6.275923352,18.18181818,8.484806425,UP,43.17617866,29.61276077,72.72727273,48.50540405,HP,8.484806425,48.50540405,8.484806425,48.50540405,28.49510524,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Allium/Allium validum_Run20200203_2020-08-17.html
Allium victorialis,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.598971722,0.0,0.0,1.199657241,UP,0.0,,,0.0,UP,1.199657241,0.0,0.0,1.199657241,0.59982862,UP,UP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Allium/Allium victorialis_Run20200203_2020-08-18.html
Allium victorialis subsp. platyphyllum,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",100.0,0.0,0.0,33.33333333,HP,0.0,,,0.0,UP,33.33333333,0.0,0.0,33.33333333,16.66666667,UP,HP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Allium/Allium victorialis subsp. platyphyllum_Run20200203_2020-08-17.html
Annona montana,1A,Food,Fruits,Annona,Cherimoya,3.846153846,0.0,0.0,1.282051282,UP,100.0,,,100.0,LP,1.282051282,100.0,1.282051282,100.0,50.64102564,UP,LP,MP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Annona/Annona montana_Run20200203_2020-08-17.html
Aphanisma blitoides,1B,Food,Vegetables,Aphanisma,"Beet, chard",0.0,0.0,0.0,0.0,UP,5.263157895,26.7517754,100.0,44.00497776,HP,0.0,44.00497776,0.0,44.00497776,22.00248888,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Aphanisma/Aphanisma blitoides_Run20200203_2020-08-17.html
Apios americana,1A,Food,Roots and tubers,Apios,Potato bean,0.537833828,0.0,0.0,0.179277943,UP,7.104557641,3.73796211,100.0,36.94750658,HP,0.179277943,36.94750658,0.179277943,36.94750658,18.56339226,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Apios/Apios americana_Run20200203_2020-08-17.html
Apios priceana,1B,Food,Roots and tubers,Apios,Potato bean,3.389830508,0.0,0.0,1.129943503,UP,0.0,,,0.0,UP,1.129943503,0.0,0.0,1.129943503,0.564971751,UP,UP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Apios/Apios priceana_Run20200203_2020-08-18.html
Artocarpus altilis,1A,Food,Fruits,Artocarpus,"Breadfruit, jackfruit",7.678883072,0.0,0.0,2.559627691,UP,2.222222222,11.4084986,100.0,37.87690694,HP,2.559627691,37.87690694,2.559627691,37.87690694,20.21826732,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Artocarpus/Artocarpus altilis_Run20200203_2020-08-17.html
Artocarpus mariannensis,1A,Food,Fruits,Artocarpus,"Breadfruit, jackfruit",100.0,0.0,0.0,33.33333333,HP,0.0,,,0.0,UP,33.33333333,0.0,0.0,33.33333333,16.66666667,UP,HP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Artocarpus/Artocarpus mariannensis_Run20200203_2020-08-18.html
Asimina triloba,1A,Food,Fruits,Asimina,Paw paw,1.97696737,1.304043716,16.0,6.427003696,UP,5.95065312,4.058993997,100.0,36.66988237,HP,6.427003696,36.66988237,6.427003696,36.66988237,21.54844303,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Asimina/Asimina triloba_Run20200203_2020-08-17.html
Blitum californicum,1B,Food,Vegetables,Blitum,Spinach,1.0958904109999998,11.82627375,40.0,17.64072139,UP,13.72180451,11.81320626,100.0,41.84500359,HP,17.64072139,41.84500359,17.64072139,41.84500359,29.74286249,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Blitum/Blitum californicum_Run20200203_2020-08-17.html
Blitum capitatum,1B,Food,Vegetables,Blitum,Spinach,1.844262295,0.0,0.0,0.6147540979999999,UP,10.6870229,13.64198647,92.85714286,39.06205074,HP,0.6147540979999999,39.06205074,0.6147540979999999,39.06205074,19.83840242,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Blitum/Blitum capitatum_Run20200203_2020-08-17.html
Blitum hastatum,1B,Food,Vegetables,Blitum,Spinach,0.0,0.0,0.0,0.0,UP,7.142857143,13.33059048,100.0,40.15781587,HP,0.0,40.15781587,0.0,40.15781587,20.07890794,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Blitum/Blitum hastatum_Run20200203_2020-08-17.html
Blitum nuttallianum,1B,Food,Vegetables,Blitum,Spinach,0.949796472,0.6218561579999999,7.407407407000001,2.993020012,UP,11.0619469,14.54612262,88.88888889,38.1656528,HP,2.993020012,38.1656528,2.993020012,38.1656528,20.57933641,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Blitum/Blitum nuttallianum_Run20200203_2020-08-17.html
Blitum spathulatum,1B,Food,Vegetables,Blitum,Spinach,0.0,0.0,0.0,0.0,UP,28.57142857,29.40936302,100.0,52.66026387,MP,0.0,52.66026387,0.0,52.66026387,26.33013193,UP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Blitum/Blitum spathulatum_Run20200203_2020-08-17.html
Capsicum annuum var. glabriusculum,1A,Food,Vegetables,Capsicum,Chile pepper,1.936159079,3.048622162,17.30769231,7.430824516,UP,13.96825397,12.89557107,90.38461538,39.08281348,HP,7.430824516,39.08281348,7.430824516,39.08281348,23.256819,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Capsicum/Capsicum annuum var. glabriusculum_Run20200203_2020-08-17.html
Carya aquatica,1A,Food,Nuts,Carya,Pecan,0.972540046,0.0,0.0,0.324180015,UP,10.34482759,6.962593316,91.66666667,36.32469586,HP,0.324180015,36.32469586,0.324180015,36.32469586,18.32443794,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Carya/Carya aquatica_Run20200203_2020-08-17.html
Carya carolinae-septentrionalis,1A,Food,Nuts,Carya,Pecan,0.857142857,0.0,0.0,0.28571428600000004,UP,19.04761905,2.266195786,100.0,40.43793828,HP,0.28571428600000004,40.43793828,0.28571428600000004,40.43793828,20.36182628,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Carya/Carya carolinae-septentrionalis_Run20200203_2020-08-17.html
Carya cordiformis,1A,Food,Nuts,Carya,Pecan,1.255795981,0.0,0.0,0.41859866,UP,5.714285714,4.235517831,100.0,36.64993451,HP,0.41859866,36.64993451,0.41859866,36.64993451,18.53426659,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Carya/Carya cordiformis_Run20200203_2020-08-17.html
Carya floridana,1A,Food,Nuts,Carya,Pecan,0.410677618,0.0,0.0,0.136892539,UP,16.27906977,12.4248328,100.0,42.90130086,HP,0.136892539,42.90130086,0.136892539,42.90130086,21.5190967,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Carya/Carya floridana_Run20200203_2020-08-17.html
Carya glabra,1A,Food,Nuts,Carya,Pecan,1.234788833,0.575485083,7.407407407000001,3.0725604410000003,UP,7.494145199,5.504988021,92.59259259,35.19724194,HP,3.0725604410000003,35.19724194,3.0725604410000003,35.19724194,19.13490119,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Carya/Carya glabra_Run20200203_2020-08-17.html
Carya illinoinensis,1A,Food,Nuts,Carya,Pecan,7.427055703,1.327890181,11.11111111,6.622018998,UP,3.930131004,3.989688693,88.88888889,32.26956953,HP,6.622018998,32.26956953,6.622018998,32.26956953,19.44579426,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Carya/Carya illinoinensis_Run20200203_2020-08-17.html
Carya laciniosa,1A,Food,Nuts,Carya,Pecan,4.094076655,2.044939318,20.0,8.713005324,UP,3.389830508,2.808949241,93.33333333,33.17737103,HP,8.713005324,33.17737103,8.713005324,33.17737103,20.94518818,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Carya/Carya laciniosa_Run20200203_2020-08-17.html
Carya myristiciformis,1A,Food,Nuts,Carya,Pecan,2.148997135,0.0,0.0,0.7163323779999999,UP,3.571428571,4.121031458,57.14285714,21.61177239,UP,0.7163323779999999,21.61177239,0.7163323779999999,21.61177239,11.16405238,UP,UP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Carya/Carya myristiciformis_Run20200203_2020-08-17.html
